SERVICE CODES,CLASS,SERVCIE NAME,Service Indication,Rate Card Type,Category
LSBRFAMA,General Services ,BRIDAL FACE MAKEUP MAC ,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LSBRMAAD,General Services ,"BRIDAL MAKEUP (FACE MAKEUP -MAC ,HAIR DO ,SAREE DRAPING)",STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LSMAPRCH,General Services ,MAC  MAKEUP -BRIDE - PREMIUM CHARGES ,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
,General Services ,PREMIUM CHARGES - PARTY ENGAGEMENT MAKEUP -MAC ,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LODIMOSP,General Services ,ELITE - DIAMOND SPARKLE,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LOPLATSH,General Services ,ELITE - PLATINUM SHEEN,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LSROGOPA,General Services ,ROYAL GOLDEN GLOW PACKAGE,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LOSIHIPR,General Services ,PREMIUM - SLIVER HIGHLIGHT,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LOSAPPEL,General Services ,PREMIUM - SAPPHIRE ELEGANCE,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LOGORGGI,General Services ,CLASSIC - GORGEOUS GIRL,STANDARD SERVICE,STANDARD RATE CARD,BRIDAL PACKAGE 
LBDBLEFC,General Services ,DETAN -FACE ,STANDARD SERVICE,STANDARD RATE CARD,DETAN
LBDBLENK,General Services ,DETAN -NECK ,STANDARD SERVICE,STANDARD RATE CARD,DETAN
